Area,Section,Row,Seat,Lock,Allocation,Total-Seats,Seat-Type
101,101,1,1,OPENHOLD,,1,
101,101,1,2,OPENHOLD,,1,
101,101,1,3,OPENHOLD,,1,
101,101,1,4,OPENHOLD,,1,
101,101,1,5,OPENHOLD,,1,
101,101,1,6,OPENHOLD,,1,
101,101,1,7,OPENHOLD,,1,
101,101,1,8,OPENHOLD,,1,
101,101,1,9,OPENHOLD,,1,
101,101,1,10,OPENHOLD,,1,
101,101,1,11,OPENHOLD,,1,
101,101,1,12,OPENHOLD,,1,
101,101,2,1,OPENHOLD,,1,
101,101,2,2,OPENHOLD,,1,
101,101,2,3,OPENHOLD,,1,
101,101,2,4,OPENHOLD,,1,
101,101,2,5,OPENHOLD,,1,
101,101,2,6,OPENHOLD,,1,
101,101,2,7,OPENHOLD,,1,
101,101,2,8,OPENHOLD,,1,
101,101,2,9,OPENHOLD,,1,
101,101,2,10,OPENHOLD,,1,
101,101,2,11,OPENHOLD,,1,
101,101,2,12,OPENHOLD,,1,
101,101,2,13,OPENHOLD,,1,
101,101,3,1,OPENHOLD,,1,
101,101,3,2,OPENHOLD,,1,
101,101,3,3,OPENHOLD,,1,
101,101,3,4,OPENHOLD,,1,
101,101,3,5,OPENHOLD,,1,
101,101,3,6,OPENHOLD,,1,
101,101,3,7,OPENHOLD,,1,
101,101,3,8,OPENHOLD,,1,
101,101,3,9,OPENHOLD,,1,
101,101,3,10,OPENHOLD,,1,
101,101,3,11,OPENHOLD,,1,
101,101,3,12,OPENHOLD,,1,
101,101,3,13,OPENHOLD,,1,
101,101,3,14,OPENHOLD,,1,
101,101,4,1,OPENHOLD,,1,
101,101,4,2,OPENHOLD,,1,
101,101,4,3,OPENHOLD,,1,
101,101,4,4,OPENHOLD,,1,
101,101,4,5,OPENHOLD,,1,
101,101,4,6,OPENHOLD,,1,
101,101,4,7,OPENHOLD,,1,
101,101,4,8,OPENHOLD,,1,
101,101,4,9,OPENHOLD,,1,
101,101,4,10,OPENHOLD,,1,
101,101,4,11,OPENHOLD,,1,
101,101,4,12,OPENHOLD,,1,
101,101,4,13,OPENHOLD,,1,
101,101,4,14,OPENHOLD,,1,
101,101,4,15,OPENHOLD,,1,
101,101,5,1,OPENHOLD,,1,
101,101,5,2,OPENHOLD,,1,
101,101,5,3,OPENHOLD,,1,
101,101,5,4,OPENHOLD,,1,
101,101,5,5,OPENHOLD,,1,
101,101,5,6,OPENHOLD,,1,
101,101,5,7,OPENHOLD,,1,
101,101,5,8,OPENHOLD,,1,
101,101,5,9,OPENHOLD,,1,
101,101,5,10,OPENHOLD,,1,
101,101,5,11,OPENHOLD,,1,
101,101,5,12,OPENHOLD,,1,
101,101,5,13,OPENHOLD,,1,
101,101,5,14,OPENHOLD,,1,
101,101,5,15,OPENHOLD,,1,
101,101,5,16,OPENHOLD,,1,
101,101,6,1,OPENHOLD,,1,
101,101,6,2,OPENHOLD,,1,
101,101,6,3,OPENHOLD,,1,
101,101,6,4,OPENHOLD,,1,
101,101,6,5,OPENHOLD,,1,
101,101,6,6,OPENHOLD,,1,
101,101,6,7,OPENHOLD,,1,
101,101,6,8,OPENHOLD,,1,
101,101,6,9,OPENHOLD,,1,
101,101,6,10,OPENHOLD,,1,
101,101,6,11,OPENHOLD,,1,
101,101,6,12,OPENHOLD,,1,
101,101,6,13,OPENHOLD,,1,
101,101,6,14,OPENHOLD,,1,
101,101,6,15,OPENHOLD,,1,
101,101,6,16,OPENHOLD,,1,
101,101,6,17,OPENHOLD,,1,
101,101,7,1,OPENHOLD,,1,
101,101,7,2,OPENHOLD,,1,
101,101,7,3,OPENHOLD,,1,
101,101,7,4,OPENHOLD,,1,
101,101,7,5,OPENHOLD,,1,
101,101,7,6,OPENHOLD,,1,
101,101,7,7,OPENHOLD,,1,
101,101,7,8,OPENHOLD,,1,
101,101,7,9,OPENHOLD,,1,
101,101,7,10,OPENHOLD,,1,
101,101,7,11,OPENHOLD,,1,
101,101,7,12,OPENHOLD,,1,
101,101,7,13,OPENHOLD,,1,
101,101,7,14,OPENHOLD,,1,
101,101,7,15,OPENHOLD,,1,
101,101,7,16,OPENHOLD,,1,
101,101,7,17,OPENHOLD,,1,
101,101,7,18,OPENHOLD,,1,
101,101,8,1,OPENHOLD,,1,
101,101,8,2,OPENHOLD,,1,
101,101,8,3,OPENHOLD,,1,
101,101,8,4,OPENHOLD,,1,
101,101,8,5,OPENHOLD,,1,
101,101,8,6,OPENHOLD,,1,
101,101,8,7,OPENHOLD,,1,
101,101,8,8,OPENHOLD,,1,
101,101,8,9,OPENHOLD,,1,
101,101,8,10,OPENHOLD,,1,
101,101,8,11,OPENHOLD,,1,
101,101,8,12,OPENHOLD,,1,
101,101,8,13,OPENHOLD,,1,
101,101,8,14,OPENHOLD,,1,
101,101,8,15,OPENHOLD,,1,
101,101,9,1,OPENHOLD,,1,
101,101,9,2,OPENHOLD,,1,
101,101,9,3,OPENHOLD,,1,
101,101,9,4,OPENHOLD,,1,
101,101,9,5,OPENHOLD,,1,
101,101,9,6,OPENHOLD,,1,
101,101,9,7,OPENHOLD,,1,
101,101,9,8,OPENHOLD,,1,
101,101,9,9,OPENHOLD,,1,
101,101,9,10,OPENHOLD,,1,
101,101,9,11,OPENHOLD,,1,
101,101,9,12,OPENHOLD,,1,
101,101,9,13,OPENHOLD,,1,
101,101,9,14,OPENHOLD,,1,
101,101,9,15,OPENHOLD,,1,
101,101,9,16,OPENHOLD,,1,
101,101,10,1,OPENHOLD,,1,
101,101,10,2,OPENHOLD,,1,
101,101,10,3,OPENHOLD,,1,
101,101,10,4,OPENHOLD,,1,
101,101,10,5,OPENHOLD,,1,
101,101,10,6,OPENHOLD,,1,
101,101,10,7,OPENHOLD,,1,
101,101,10,8,OPENHOLD,,1,
101,101,10,9,OPENHOLD,,1,
101,101,10,10,OPENHOLD,,1,
101,101,10,11,OPENHOLD,,1,
101,101,10,12,OPENHOLD,,1,
101,101,10,13,OPENHOLD,,1,
101,101,10,14,OPENHOLD,,1,
101,101,10,15,OPENHOLD,,1,
101,101,10,16,OPENHOLD,,1,
101,101,10,17,OPENHOLD,,1,
101,101,11,1,OPENHOLD,,1,
101,101,11,2,OPENHOLD,,1,
101,101,11,3,OPENHOLD,,1,
101,101,11,4,OPENHOLD,,1,
101,101,11,5,OPENHOLD,,1,
101,101,11,6,OPENHOLD,,1,
